param,IQR_red_Q_only,IQR_red_Q_Cl,tracer_gain_pp,prior_med,post_med_QCl,IQR_red_Q_only_log,IQR_red_Q_Cl_log
K_s,6.615388399539368,-11.982256513694667,-18.597644913234035,3.161934295336981e-07,3.139053623977207e-07,18.62407227056744,-3.234702728561012
psi,-2.064938970101271,9.105344674674365,11.170283644775637,0.1872362509488712,0.21026410819983196,5.891768588078039,21.747410032566204
theta_d,5.217839511211775,-8.09966695801796,-13.317506469229734,0.1884172250649773,0.19501202330964534,,
K_ex,67.91087965713804,84.09350241274682,16.182622755608776,7.76401336787971e-06,3.2748202204361013e-06,16.78018592960413,30.963062877754933
f_sat,-1.6855541046399747,-2.1235767944798756,-0.4380226898399009,0.177646590969966,0.17045659626565973,,
S_max,-7.955650320496788,-5.141520500280894,2.8141298202158938,0.038031590757963946,0.045597665166098006,-3.049945520391395,-1.2094260640170384
tau_drain,25.688600097887658,24.23330210493687,-1.4552979929507863,22638.428797862038,24356.36633571381,19.38244862822579,24.261485207515186
uh_stretch,17.25335470863838,-2.1201940562803,-19.37354876491868,4.645071583922498,5.38551191868919,,
n,-5.270258558437724,-16.237382649794906,-10.967124091357181,0.049986659698693856,0.05194279332848474,,
V_soil,2.0755307656462607,8.452754246590477,6.377223480944216,0.34642947418728376,0.8521301551049953,-0.11707904570394945,56.671799209009656
alpha_soil,22.939072168023845,41.57500925509579,18.635937087071948,0.7422607929757602,0.6953515981988783,,
Q_threshold,-5.146506744086965,18.253012873140772,23.39951961722774,0.6912402534946531,0.8503856175599479,,
gamma,10.799238720230264,15.070424298493235,4.271185578262971,3.450658322725869,3.3126145176544153,,
lambda_sat,4.905839781280152,26.64014640743919,21.73430662615904,0.4715490983127707,0.37653975243374493,,
baseflow_Q,25.24694732418773,26.130723212160746,0.883775887973016,0.19915232322632614,0.1048060464638882,,
