K_s,psi,theta_d,K_ex,f_sat,S_max,tau_drain,t_lag_hr,uh_stretch,n,V_soil,alpha_soil,Q_threshold,gamma,lambda_sat,baseflow_Q,success,NSE_Q,NSE_C,KGE_Q,KGE_C,J,working_ensemble
1.6755398406149656e-07,0.13256639991693223,0.10511037821651234,1.4217701127375086e-07,0.24020507805582236,0.07339479818435643,21150.017230786456,1.9093540205160187,6.263175655144515,0.06196367484095227,0.08867131280621934,0.5594141833657124,0.8441631234490026,2.818446979463097,0.28182832349217785,0.3027569638949432,True,0.7864255629827054,-14.013953367576303,0.7700755314531075,-1.0054759900424006,-20.234504488381745,False
6.02203825966966e-07,0.1116903977863904,0.2196948573936504,2.1124299678678746e-05,0.18652976240676883,0.08815994426684745,42397.17305176667,1.7829946424052192,4.961153366390678,0.05756100337372466,0.07244160075527352,0.6448138750208523,0.1539282039194314,3.342427649220939,0.24727467843502124,0.18643258103382848,True,0.8086682086377122,-49.93314527011396,0.6504388993946434,-1.804919610522795,-74.09104969653323,False
1.9144700927293912e-07,0.1645470464374792,0.25002348066136465,9.95838589690863e-06,0.1581613136364503,0.04563681898110484,43529.82909670776,1.4011244148175384,4.450295880258029,0.06421517794472645,0.7813016679199173,0.5370944376760881,1.178880689279845,2.033871456569332,0.1597971017280152,0.3023059184606902,True,0.8714036769867193,0.6943871622460439,0.6983331949290581,0.7983348935958188,1.912984420355785,False
1.2343758520557492e-07,0.08805273153427327,0.08227253493629035,2.703896455967118e-07,0.06867020327929022,0.01849834465843799,39943.133480639226,0.5821865484264521,2.9350877567061757,0.0408707030474415,0.37332400985673364,0.7284116326486972,0.67711316027861,4.502261800772594,0.21866313606312845,0.05135184196074366,True,0.31096279245554304,-1.3589885873810132,0.5379483838108445,0.028010708759528935,-1.727520088615977,False
2.2427713271291546e-07,0.287262686758976,0.11422120770149259,7.780442416211348e-07,0.2696137669651086,0.03491695903590191,9753.454286118878,1.1675157366606246,6.993155350878878,0.0513153451404432,0.10229624256120912,0.6893568016815242,1.024226898171619,4.998153435306902,0.15825480685412557,0.23444964719328623,True,0.7332973609819793,-10.766926674356487,0.7379394859865803,-0.981375130399383,-15.417092650552753,True
7.203834605778441e-07,0.11702970137924569,0.2820177072566973,9.279818587942333e-05,0.10556889282783505,0.046998604506699536,59166.20103043678,1.9401579864985252,3.4577443458878583,0.0529145262102204,0.08326423944362328,0.8816562844310476,1.1696996500431933,4.119288823194223,0.4916396231544537,0.21297052038599795,True,0.8306778330031593,-16.912234805749264,0.843862991241096,-1.2116223877845438,-24.53767437562074,False
1.1277934727242889e-07,0.13994559405451726,0.2721758298311763,1.1602144488443036e-06,0.13970609987446553,0.015202348635828117,24742.596144649226,1.723778642124568,6.531470495171204,0.039597154048633176,1.92606595546212,0.9004414768764336,1.0218772390320123,3.970117022042276,0.8922295778361637,0.08261434141886034,True,0.6926314430911291,-1.024903339014215,0.6464156358355302,0.16282135935835462,-0.8447235654301934,False
3.5481879068474546e-07,0.17571135927699608,0.08325163487556793,5.791933986711463e-07,0.14514819960342817,0.02410966830142158,33379.88534653125,1.6374083693346217,2.744611110199209,0.048175490540271565,0.11393190183740166,0.7262910982167161,1.0030331290107772,3.1639083819566567,0.8264628831222498,0.22855821948286584,True,0.6280677835489396,-17.916520104933518,0.7366912235117526,-1.0244142469493887,-26.246712373851338,False
6.265318912031744e-07,0.1042858819358123,0.114767301117015,6.568904923315312e-05,0.19803727049765052,0.059836749230070076,39483.51734616703,0.4662479956706489,6.054371376483864,0.0424517902562573,0.3263546175187467,0.715728482203739,1.0140984930504955,2.562013038913685,0.9735044694505641,0.31191349361938525,True,0.7530378368611095,-1.25887184155454,0.7039445150986231,-0.09572593757949721,-1.1352699254707004,False
5.72872425539123e-07,0.08526897692917858,0.21192973041984342,1.3390621064843784e-07,0.2555497136218141,0.02253536566764476,43183.579442732174,1.9555857915956065,2.252620032558492,0.03610330406278069,0.32365673794917366,0.5064142855954172,0.8546157976272878,3.456623376415613,0.8566756470633901,0.14288089991404687,True,0.43627551883175797,-0.44608017644972353,0.5087343287697691,0.38771696729321303,-0.23284474584282733,False
1.6982428075699306e-07,0.34373008212319306,0.24073596872187797,0.00030230348038757653,0.0974420966459372,0.05496608284256527,26989.334223249803,0.7333353923330219,2.728712912429667,0.05098675683701312,0.10355743040800311,0.8245397598664495,0.7844642589050451,4.960028579365075,0.32868474314033547,0.10976365370964371,True,0.5950294038154015,-9.299592278487333,0.7572056824791651,-0.8079516215166571,-13.3543590139156,True
3.698607793328191e-07,0.15938903379953495,0.08510091411440288,2.8463583589872223e-06,0.2843578907503225,0.02873937635622688,36377.9319743772,1.097459929263494,2.443035827275145,0.04108936131180103,0.6715571843097363,0.8090454543809185,0.8345447953507285,4.6993151044945805,0.6620660365029075,0.049736177557700455,True,0.5594337507348728,-1.115943549588783,0.5543286747166023,0.17757413583269932,-1.1144815736483018,False
5.440644275739768e-07,0.39750039642407636,0.18622339877143815,8.949262036570805e-05,0.28039685290833616,0.023149303263140807,17380.138253325837,1.0438731223062772,7.224296436697702,0.054441976070693315,0.9796629700573086,0.5975248028040538,0.8785071849245367,4.020015728365423,0.6964361882954476,0.2602691576716437,True,0.5371280255620695,0.13327556120202622,0.6798521530115644,0.5164117025631738,0.7370413673651088,False
3.156576837540445e-07,0.15787059912548246,0.2880430369424635,1.7476288432640385e-05,0.06810392974665619,0.07252065920760313,30228.254256996315,0.545343751786927,1.7701562865270084,0.06153103980744487,0.10078946244965674,0.6952972345315158,0.46862223891351373,3.948699588692012,0.4929760328050593,0.3004926610810805,True,0.5867578791919353,-25.52558564261407,0.667640902833522,-1.2285937387111914,-37.70162058472917,False
9.095478740259732e-07,0.3037572079673629,0.17970688238595978,0.0002464336010866258,0.09949137650265644,0.08217645975534539,23275.287124467766,1.5700315048501743,1.7505037639680778,0.059442543854540814,0.27048329613893324,0.6260992964089702,1.0684887292707752,3.898323390428153,0.1414190840924009,0.30439066578477303,True,0.5109392959708893,-1.4115695820939904,0.6900994984361508,0.022895446019734256,-1.6064150771700962,False
