K_s,psi,theta_d,K_ex,f_sat,S_max,tau_drain,t_lag_hr,uh_stretch,n,V_soil,alpha_soil,Q_threshold,gamma,lambda_sat,baseflow_Q,success,NSE_Q,NSE_C,C_trough,Q_peak,variant
5.453577876028489e-07,0.33583616306800607,0.184165492912367,1.2709017528333733e-06,0.2667733412201,0.04042216001353072,19343.098540050134,0.8666164027512129,2.384097312529871,0.06449097391364318,1.3860296900017806,0.7374993153749575,0.7270498627547916,4.711949621637042,0.7568924688312494,0.3067718951007036,True,0.6928349381946313,-0.014322552211504247,4.485482199797393,2.28714342006358,3-layer
2.3257788162272692e-07,0.19085082505497564,0.09558703169204089,1.8244770466706084e-05,0.08237146004110682,0.04150181589766773,11140.512572763024,1.3962822483907407,4.6098461521098155,0.04801424483668607,0.11788300205817552,0.928004791165306,0.20371509045814762,3.407524311085598,0.8294326611020203,0.06657777257216334,True,0.8414861043847784,-29.930419561931632,5.469379469810551,2.833767403204033,3-layer
3.2317105182721963e-07,0.13178561996424226,0.11107221102452766,5.683128545360762e-06,0.12618927058014603,0.05027807105304438,27042.869369809963,0.8853137638426327,1.1834996455924458,0.06333017195913386,0.21722752733673126,0.6779155221936233,0.4716194000247227,4.695664588471993,0.08828869277916865,0.32654029005685026,True,0.2490500023104275,-5.244407655352896,4.73279312000801,3.3001975480975334,3-layer
3.7797057586141245e-07,0.2266637492459728,0.24986341918617622,2.752546854193617e-07,0.24414043947114866,0.09952131384587265,8236.278569601871,1.8406797764264842,3.1159238122167277,0.037583055135945696,0.2819365551122884,0.9777369946747339,0.8254626102840937,2.488702230433236,0.03886553100764663,0.062227146818242096,True,0.52695968350075,-4.788818659262494,5.441211886274196,2.3842422571036055,3-layer
5.660446003939199e-07,0.2506823965445547,0.1061580533011635,5.651200866604089e-05,0.2087043612289694,0.016616473979998606,21965.44864780301,1.8928582763575457,2.289958679958495,0.05646568114259464,0.17031563571452096,0.5998936928437877,0.4578493879376919,2.858007355242147,0.49708501759928053,0.34896639277771047,True,0.6676253990910932,-5.045193493685618,4.330501882413684,3.5476111232003382,3-layer
2.4189179404694606e-07,0.18871944146242395,0.11492177566237835,1.6147671008721048e-06,0.20657316801883052,0.01552497812950934,20313.624667535438,1.0200543522507095,5.798097735783517,0.06111906477324386,0.19399261028129353,0.8215080184525189,0.9038922791898932,2.7832045398646317,0.46521921443036746,0.18728684637126222,True,0.8207025380337789,-6.882306241853091,5.432797489446593,2.6297196665404536,3-layer
1.5827984561767424e-07,0.2310578807332799,0.15800210708887075,6.307792872288321e-06,0.237315001509524,0.017437984083300433,9672.45302583959,1.2856611758721732,1.3840685440469769,0.06248691598388567,0.3588528596400119,0.5577672456710047,0.32060373187662605,2.843401990706515,0.5099889571089951,0.07415546154158184,True,0.28700763467701074,-0.463758483968034,3.8418794097435685,3.474869694216639,3-layer
2.3885832919980357e-07,0.15969525602153933,0.11632662538974078,1.8315606444756158e-05,0.19838386197240038,0.08830936348896126,12091.697273273141,1.9519466479929863,1.4537949150741856,0.048523545519020786,0.27948478852124486,0.992109442039443,0.9305390960885852,3.4051374864288584,0.5730648220228769,0.11044386089145322,True,0.391128596112412,-4.28357434517558,5.49627830062,3.325456350789731,3-layer
9.636908215071496e-07,0.2538050142084293,0.2609955264628706,1.9577860715447037e-06,0.0740237861530109,0.028198238487320344,10093.060795899064,0.5652696829258553,7.041636576601602,0.039925602403063705,1.02775819234924,0.7006576488972271,0.22635987895697632,3.56210911369758,0.053684337307945224,0.06309672423389015,True,-0.04443695038340301,0.5998755809260887,4.543872728878113,0.7495589001263044,3-layer
1.533898931185284e-07,0.08362634775717155,0.2886652626422575,3.28347880831123e-07,0.2866980769953286,0.02406105404170768,58399.13677983947,0.8965079630737934,4.24422479486992,0.056425210781354956,0.7731792434283913,0.5640743369823351,1.0441045042508554,4.575309774346608,0.16686625863525364,0.33543048573574386,True,0.8155490672092078,-0.03970167900724331,3.878126078203756,3.2578337379370668,3-layer
5.282136436411609e-07,0.1773903291463846,0.2661762265498483,5.1669948747846917e-05,0.12690303860148727,0.03130693960215044,25713.73124843254,1.6361095038366487,5.504915424895418,0.03892233940241685,0.11459290024558963,0.9492512706629598,0.571934129638682,3.6107259314316105,0.772008751920561,0.03963002633630219,True,0.6735529411279315,-17.602555251601608,5.482507244827001,2.1980798096699448,3-layer
1.4476582687664804e-07,0.26302246223219966,0.2188281713965064,4.2952602349015857e-07,0.13314241232380652,0.051320900060266364,28311.637884391603,1.8706639505205485,4.119498835121709,0.04179249420606827,0.9698607504808195,0.864022436058446,1.198655264597036,3.8081324961276106,0.023134876411283513,0.20367583644022114,True,0.7741021789384497,-1.6107999839509088,5.312116498930324,2.7788444085671373,3-layer
2.823178140219708e-07,0.10559205232576117,0.26821198630375603,0.00037979231845548697,0.24612419888966697,0.022177373864675644,16874.353524572136,1.3219281039773432,4.08238111427301,0.04782218738426409,0.25974793670917173,0.5687012231503858,0.30037171385642814,2.2540966412354306,0.716108412684369,0.3405484375575152,True,0.6656060353619186,-1.6844074978944756,3.6999314878456095,3.3645936875619853,3-layer
2.302767087248576e-07,0.2848831445866738,0.1721605050585478,1.4646569832842845e-07,0.14811713806269314,0.04128188283658875,27891.107042555446,1.3532839266333136,6.803442670791077,0.03529291549494875,1.480921706547395,0.7760585207205652,0.3574194549209413,2.6148088954864264,0.554353954176388,0.33926874779942884,True,0.762832471643926,0.26161422524060085,4.610195755295521,2.2941237511484185,3-layer
2.7897518410085116e-07,0.2765503818018575,0.1951153771136821,7.903883445357252e-05,0.2527907833202841,0.0632859035146977,10952.052216436354,0.7036317157369062,4.200723855488095,0.03884315501401311,1.1267702584902763,0.6078553103741691,0.4811714516526696,2.53428779487228,0.8687304654422967,0.3348018087466611,True,0.7783352449886013,-1.784254800652311,3.749946655924382,3.0097918508012222,3-layer
5.545089092780289e-07,0.33483953497155666,0.290781899125973,1.4150366425227428e-07,0.06877330824197755,0.02356921659798976,50273.11014485236,0.8112690473898342,1.2342715535425604,0.05595747517694063,0.051746827498717576,0.9499186135959747,0.7065031359451148,3.1883282142468854,0.907932087781998,0.31985237945657197,True,0.27350486173345867,-247.5572607307551,5.7359615976424365,2.442563476928646,3-layer
